observation_date,NCBCMDPMVCE
2000-10-01,31.2534262910
2001-01-01,34.8288502851
2001-04-01,33.3074562256
2001-07-01,38.7944655785
2001-10-01,35.9354737098
2002-01-01,35.7953358478
2002-04-01,40.3644085324
2002-07-01,46.8998450115
2002-10-01,46.5777761553
2003-01-01,47.4903005346
2003-04-01,42.2164747108
2003-07-01,40.9915088907
2003-10-01,36.5873754206
2004-01-01,36.0047094893
2004-04-01,35.3930031225
2004-07-01,36.4254245895
2004-10-01,33.9087679133
2005-01-01,34.2840191984
2005-04-01,34.2641562527
2005-07-01,33.4858367994
2005-10-01,34.1045089304
2006-01-01,32.4391150481
2006-04-01,34.2101614974
2006-07-01,33.5026449015
2006-10-01,32.5210482334
2007-01-01,31.8418130506
2007-04-01,31.4225627514
2007-07-01,31.9789178671
2007-10-01,34.1349076731
2008-01-01,37.5602817987
2008-04-01,38.7019908384
2008-07-01,43.3393908358
2008-10-01,54.2620303640
2009-01-01,59.8483583810
2009-04-01,52.1272150326
2009-07-01,44.7190035009
2009-10-01,41.4501572260
2010-01-01,39.5495243113
2010-04-01,43.7321384982
2010-07-01,39.6554034368
2010-10-01,35.7798147235
2011-01-01,33.8536567380
2011-04-01,34.4182884117
2011-07-01,40.6541879372
2011-10-01,37.6542836041
2012-01-01,34.6513677247
2012-04-01,36.0223211378
2012-07-01,34.3735058727
2012-10-01,35.4773024010
2013-01-01,31.8203235647
2013-04-01,31.8731185988
2013-07-01,30.8698940825
2013-10-01,29.0480085281
2014-01-01,28.7517646837
2014-04-01,27.8678663841
2014-07-01,28.4454093775
2014-10-01,27.8627713688
2015-01-01,28.1463257127
2015-04-01,29.1913799833
2015-07-01,31.8965998625
2015-10-01,30.7129392360
2016-01-01,30.8580226598
2016-04-01,30.3201445850
2016-07-01,29.7339878514
2016-10-01,29.4051526811
2017-01-01,28.3617931340
2017-04-01,28.2464873769
2017-07-01,27.5668784207
2017-10-01,26.6416539424
2018-01-01,27.1958295677
2018-04-01,27.2695821589
2018-07-01,25.9174915790
2018-10-01,30.6989168355
2019-01-01,27.4257812030
2019-04-01,27.0309237945
2019-07-01,27.2693391218
2019-10-01,25.5697381387
2020-01-01,34.3642564338
2020-04-01,29.0831518746
2020-07-01,26.1130115018
2020-10-01,22.7385143249
2021-01-01,21.7755244102
2021-04-01,20.4950145757
2021-07-01,20.7279670741
2021-10-01,19.5756267182
2022-01-01,21.0311811786
2022-04-01,25.7088495823
2022-07-01,27.0444233009
2022-10-01,25.9335080838
2023-01-01,24.2620927693
2023-04-01,22.5282329656
2023-07-01,23.4951769055
2023-10-01,21.4333310299
2024-01-01,19.8808804484
2024-04-01,19.5217901013
2024-07-01,18.5209701352
