,Open,High,Low,Volume
2025-03-01,70.49016,71.65267,69.98023,272678.78
2025-03-02,70.16676,71.19481,69.678116,261597.84
2025-03-03,70.503136,71.508675,69.974174,255359.86
2025-03-04,70.7702,71.84587,70.28914,253674.02
2025-03-05,70.88006,71.98969,70.43372,256023.69
2025-03-06,70.91398,72.013115,70.43261,258646.36
2025-03-07,70.867676,71.97427,70.32216,261306.83
2025-03-08,70.849045,71.96166,70.2611,262540.94
2025-03-09,70.78861,71.92068,70.17257,263927.8
2025-03-10,70.758095,71.899666,70.13554,264276.4
2025-03-11,70.736435,71.88042,70.11395,264501.44
2025-03-12,70.715034,71.860275,70.090836,264833.5
2025-03-13,70.69365,71.84165,70.06805,265150.47
2025-03-14,70.672134,71.82402,70.04568,265385.38
2025-03-15,70.65247,71.80765,70.02505,265541.4
2025-03-16,70.63608,71.792854,70.007645,265639.3
2025-03-17,70.622246,71.77966,69.99305,265703.72
2025-03-18,70.611046,71.76837,69.981606,265743.56
2025-03-19,70.60154,71.75866,69.972046,265770.75
2025-03-20,70.593506,71.750496,69.96406,265789.4
2025-03-21,70.5868,71.74369,69.95746,265800.22
2025-03-22,70.58127,71.73804,69.952065,265804.78
2025-03-23,70.57676,71.73335,69.9477,265805.2
2025-03-24,70.57311,71.72949,69.9442,265803.16
2025-03-25,70.570175,71.72634,69.9414,265799.8
2025-03-26,70.56782,71.723785,69.93916,265795.84
2025-03-27,70.565926,71.72172,69.937386,265791.6
2025-03-28,70.564415,71.72006,69.93598,265787.53
2025-03-29,70.56322,71.71873,69.93487,265783.6
2025-03-30,70.56227,71.71767,69.934006,265779.94
