Date,Open,High,Low,Volume
2025-03-01,70.29799447348603,70.92943843200803,69.01811776161193,273085.00417702016
2025-03-02,70.749730338645,71.26524059160427,69.24247114441395,258547.6080236158
2025-03-03,70.93722725876124,71.58986361896619,69.51309576447011,274152.18318142206
2025-03-04,71.02659648168535,71.84072242007032,69.7905303798914,258704.05617548287
2025-03-05,71.13796564973147,72.03714088475705,70.06849813129902,250345.55496571958
2025-03-06,71.27346651986316,72.17872913444415,70.33788534555435,245997.08708147675
2025-03-07,71.2469029272966,72.28529357078672,70.59378871424198,255744.64172193944
2025-03-08,71.20261056634635,72.36184035019576,70.82531942625046,241611.7377944079
2025-03-09,71.3633190810971,72.42937650208175,71.03848410356045,238690.50402317257
2025-03-10,71.37956784026846,72.48977466437965,71.234431108284,236175.58052262844
2025-03-11,71.41620346992241,72.55211283221841,71.41124186697006,252662.1024230954
2025-03-12,71.47610316560268,72.61863063754886,71.56447258200646,242865.68191836684
2025-03-13,71.37656903629079,72.6876246247217,71.70730215039254,238324.68218158485
2025-03-14,71.42092886054144,72.76089691726862,71.83316454639436,242104.435127891
2025-03-15,71.43297771482393,72.83484398330748,71.94893615951538,237900.84773211152
2025-03-16,71.57472788497581,72.91380925409496,72.05344403293132,246280.99199242325
2025-03-17,71.49667184205875,72.9934610125497,72.1411832482338,233831.80891220988
2025-03-18,71.50902216467932,73.07047845765949,72.21865885491371,242114.9689214447
2025-03-19,71.49302737538815,73.14712449682504,72.28691432721615,237229.51275148688
2025-03-20,71.45917936984674,73.22193872257323,72.35055633099078,243547.95275800285
2025-03-21,71.57174927701801,73.29043687953056,72.39793942759036,234217.95733685582
2025-03-22,71.58529197589012,73.3530408309102,72.44222786872388,223103.97024693846
2025-03-23,71.65812301211878,73.4039835722819,72.48376900317669,242468.582634266
2025-03-24,71.6361529881388,73.44896200551837,72.51104375507832,242711.1719487983
2025-03-25,71.57730466227531,73.49135395130516,72.53241085116863,230843.93817098378
2025-03-26,71.66884531063066,73.53876995152982,72.55731506237983,244140.7909090948
2025-03-27,71.52002817397342,73.57859212291241,72.57980708973408,245486.37028671236
2025-03-28,71.53101465857625,73.62203429014235,72.59643607068061,240665.85951888026
2025-03-29,71.6418008365035,73.66198289570212,72.61636865303517,239692.77249255092
2025-03-30,71.79721920348778,73.70254534871131,72.63499362864493,230632.18347337336
2025-03-31,71.60752726609483,73.73685723366589,72.65471353368758,238494.36728727637
2025-04-01,71.83653382218033,73.76871293225885,72.67107010307312,236431.76323009402
2025-04-02,71.58854663965553,73.79855276431142,72.68785161488056,241125.37033555508
2025-04-03,71.7042427621819,73.82417846987397,72.7001057248354,235569.1113882062
2025-04-04,71.76770425446406,73.84933751968295,72.71312133870126,239053.77610188158
2025-04-05,71.64436758436264,73.87186978527905,72.72454714109898,239132.84843949944
2025-04-06,71.69134908395186,73.89204513413459,72.73383739020825,241127.84652483018
2025-04-07,71.7874004740946,73.91094496466219,72.74137364218234,245061.34790033428
2025-04-08,71.80385258052871,73.92767224230617,72.74683030602932,226829.609629198
2025-04-09,71.76087031865568,73.94655634871125,72.7582519379139,244700.9612194264
2025-04-10,71.68210158859044,73.96025464887917,72.76412426021099,235698.4292737347
2025-04-11,71.71414299400226,73.9747336236164,72.77065020806789,240563.1985821262
2025-04-12,71.75780143267363,73.98730193004012,72.77532601068019,234909.08281326175
2025-04-13,71.62324580888972,74.00018514555693,72.78154389824869,233518.27258955478
2025-04-14,71.74158160985485,74.01204927960784,72.78770483191013,235907.03106563567
2025-04-15,71.8214287078567,74.02294617789984,72.79357875182629,228756.70284991237
2025-04-16,71.78513958041296,74.03460150122642,72.80217646675109,237853.362712239
2025-04-17,71.75420667958409,74.04299369920791,72.80752711389064,232408.70023366273
2025-04-18,71.72627549791858,74.05196765026452,72.81319722018242,241000.44740138322
2025-04-19,71.75531521028877,74.05855491577834,72.81493795142174,238728.50233401774
2025-04-20,71.69505835473016,74.0657228813246,72.81608683350086,240074.65114811243
2025-04-21,71.74952843739167,74.07175478395074,72.81587591276168,238379.97153932005
2025-04-22,71.72727339131833,74.07771803904325,72.81627345588208,239027.6216233188
2025-04-23,71.71597874598876,74.08348393124342,72.81648194921017,237991.82176086516
2025-04-24,71.91273480523006,74.08878554751725,72.81710178768635,242129.20291367322
2025-04-25,71.79852888331116,74.093131390661,72.81766264088154,231282.4218928197
2025-04-26,71.7476186224483,74.09865489067882,72.82144811706543,228005.33487827002
2025-04-27,71.86003048397676,74.10436486310513,72.82739347183704,233651.2937542063
2025-04-28,71.84556023753882,74.1088910946846,72.8325807550192,242976.11478131116
2025-04-29,71.95111557187587,74.11092245846243,72.83328317935467,241582.26594098777
